datetime,open,high,low,close,volume
02-19-2021,15.0245,15.1769975,14.8467,14.9265,271724120
02-22-2021,14.77475,15.13325,14.325,14.35575,325885560
02-23-2021,14.07525,14.23875,13.3895,14.142,391779320
02-24-2021,14.12275,14.50675,13.756,14.499,448319080
02-25-2021,14.0454175,14.37475,13.21625,13.3075,824436040
02-26-2021,13.7525,13.8545,13.361,13.7145,500930400
03-01-2021,13.875,13.925,13.5532475,13.84175,353183000
03-02-2021,13.9,13.9205,13.396,13.40625,264114120
03-03-2021,13.42625,13.4515,12.79875,12.80475,377590280
03-04-2021,12.80075,12.975,12.08375,12.37025,573345160
03-05-2021,12.55,12.55,11.67925,12.4615,542838840
03-08-2021,12.45,12.47125,11.5665,11.59325,543111680
03-09-2021,12.13025,12.61675,12.05925,12.52025,521825520
03-10-2021,12.8405,12.98,12.4575,12.46825,384376560
03-11-2021,12.95,13.04625,12.7345,12.9935,299914280
03-12-2021,12.64825,12.88875,12.59,12.856,243963960
03-15-2021,12.86475,13.20675,12.767125,13.19125,222520440
03-16-2021,13.3565,13.5125,13.11675,13.29125,272129600
03-17-2021,13.03975,13.45325,12.9895,13.34125,243864200
03-18-2021,13.1365,13.184,12.7170425,12.7225,294188080
03-19-2021,12.75,12.9215,12.6125,12.84575,299206960
03-22-2021,12.91275,13.3945,12.90675,13.18625,297803080
03-23-2021,13.25425,13.3445,13.02125,13.07075,222046080
03-24-2021,13.15125,13.159125,12.63675,12.643,245838520
03-25-2021,12.4995,12.71475,12.272,12.53525,295144560
03-26-2021,12.5545,12.85625,12.3735,12.83925,363968960
03-29-2021,12.82025,13.0625,12.7,12.94825,273519880
03-30-2021,12.84195,12.97525,12.705,12.87175,200202480
03-31-2021,13.0155,13.4705,12.9825,13.34825,314777520
04-01-2021,13.57225,13.87,13.51125,13.81175,308274600
04-05-2021,13.8675,14.0139625,13.733,13.9875,255671400
04-06-2021,13.9996775,14.054125,13.7736225,13.8615,191745960
04-07-2021,13.88075,14.2434975,13.7115,14.1435,251284360
04-08-2021,14.25275,14.4715,14.2489425,14.317,244414920
04-09-2021,14.214,14.408,14.175,14.4,195170880
04-12-2021,14.28975,15.3525,14.13925,15.209,869322000
04-13-2021,15.2315,15.7,15.12575,15.6795,676211880
04-14-2021,15.625,15.72046,15.2275,15.277,385501920
04-15-2021,15.6625,16.21415,15.6315,16.13725,598480680
04-16-2021,16.0530875,16.16575,15.86525,15.9125,335207560
04-19-2021,15.53654,15.8075,15.2330025,15.36175,404418080
04-20-2021,15.32325,15.497,14.963,15.17125,334133040
04-21-2021,15.11875,15.3625,15.10225,15.3605,216777040
04-22-2021,15.375,15.4385675,14.7835,14.85025,277786280
04-23-2021,14.9343625,15.334875,14.90025,15.26525,227772200
04-26-2021,15.185045,15.479,15.125,15.478,197797080
04-27-2021,15.5785,15.6705,15.3545,15.38175,164573000
04-28-2021,15.3645,15.53225,15.2155175,15.27675,209416200
04-29-2021,15.4,15.4365,15.0715,15.32475,173196480
04-30-2021,15.1745,15.3649975,14.997,15.0095,201910080
05-03-2021,15.125,15.24675,14.7875,14.83675,203911840
05-04-2021,14.63725,14.6375,14.0102525,14.35125,405324800
05-05-2021,14.709,14.8135,14.3875,14.4585,292023040
05-06-2021,14.49525,14.57125,14.21809,14.523,193380920
05-07-2021,14.80825,14.97075,14.6717075,14.81225,229327320
05-10-2021,14.78725,14.806,14.25,14.26575,268903800
05-11-2021,13.825,14.35475,13.75,14.30625,285585360
05-12-2021,14.0095,14.26025,13.70925,13.7585,303409320
05-13-2021,14.03375,14.08075,13.459,13.66525,285727480
05-14-2021,13.89,14.328105,13.7485,14.243,258615000
05-17-2021,14.157,14.16925,13.8535,14.1655,216980840
05-18-2021,14.267,14.40425,14.004,14.01575,186254240
05-19-2021,13.5665,14.0795,13.54325,14.06575,343999360
05-20-2021,14.3025,14.683785,14.2705,14.6125,321591920
05-21-2021,15.16375,15.222,14.86939,14.99175,672992000
05-24-2021,15.2125,15.745,15.176,15.612,554816200
05-25-2021,15.766,15.8184975,15.4825,15.64775,435406880
05-26-2021,15.73425,15.79375,15.58625,15.7,370438640
05-27-2021,15.69975,15.75,15.46,15.488,581475200
05-28-2021,15.501,16.277475,15.501,16.2445,644535600
06-01-2021,16.27,16.388125,15.90325,16.2645,472803000
06-02-2021,16.25225,16.9188675,16.2355,16.77825,594167560
06-03-2021,16.70075,17.259,16.583,16.96975,580006800
06-04-2021,17.1125,17.661,17.0955,17.57825,617120280
06-07-2021,17.57114,17.8125,17.19275,17.619,575754920
06-08-2021,17.52725,17.6215875,17.251,17.457,323846760
06-09-2021,17.51575,17.575,17.25575,17.35825,381657480
06-10-2021,17.35,17.492,17.1760025,17.425,287770440
06-11-2021,17.4795,17.939225,17.44375,17.82525,416307640
06-14-2021,17.906,18.0395,17.6627525,18.01875,321374280
06-15-2021,17.915,18.01625,17.72795,17.7885,243030440
06-16-2021,17.79075,17.9546775,17.584425,17.81025,307122600
06-17-2021,17.7745675,18.835,17.7562525,18.65725,809654880
06-18-2021,18.784,19.375,18.584,18.63875,968854280
06-21-2021,18.43525,18.5365,17.82265,18.42725,672382160
06-22-2021,18.4715,18.96375,18.385875,18.88675,580145560
06-23-2021,19.00775,19.15275,18.90775,19.05725,332357040
06-24-2021,19.22775,19.42,19.08825,19.2055,320922400
06-25-2021,19.2805,19.3455,18.894375,19.031,278365920
06-28-2021,19.36125,20.07875,19.319,19.985,495436560
06-29-2021,19.8825,20.09875,19.656875,20.02675,367633840
06-30-2021,19.999125,20.1625,19.86375,20.0025,326566160
07-01-2021,20.125,20.456,20.019,20.212,480134960
07-02-2021,20.440125,20.50525,20.28775,20.487,343396680
07-06-2021,20.7375,20.842,20.35025,20.6985,446707480
07-07-2021,20.8535,20.875,20.33205,20.37175,418427280
07-08-2021,19.8565,20.133,19.70075,19.90275,503299680
07-09-2021,19.9625,20.080125,19.75425,20.05025,296622680
07-12-2021,20.24,20.53275,20.18775,20.5125,321984760
07-13-2021,20.4005,20.46125,20.1140025,20.25,290706320
07-14-2021,20.35775,20.41775,19.75275,19.8415,380099200
07-15-2021,19.81175,19.847,18.8585025,18.96625,550564520
07-16-2021,19.0305,19.15711,18.073,18.161,688222640
07-19-2021,17.91525,19.042,17.8655,18.77975,749058760
07-20-2021,18.73,18.838,18.164,18.612,434686540
07-21-2021,18.882,19.527,18.742,19.41,371017360
